state,county,Barack Obama,Mitt Romney,Other_2012,Total Votes_2012,Winner_2012,Margin_2012,Donald Trump,Hillary Clinton,Other_2016,Total Votes_2016,Winner_2016,Margin_2016,Total_Votes_Percent_Change
Alabama,Pickens,4455,5124,32,9611,Mitt Romney,669,5456,3972,114,9542,Donald Trump,1484,-0.72
Alabama,Pike,6035,7963,109,14107,Mitt Romney,1928,7693,5056,419,13168,Donald Trump,2637,-6.66
Alabama,Randolph,3078,7224,96,10398,Mitt Romney,4146,7705,2291,191,10187,Donald Trump,5414,-2.03
Alabama,Russell,10500,8278,101,18879,Barack Obama,2222,9210,9579,467,19256,Hillary Clinton,369,2
Alabama,Shelby,20051,71436,1020,92507,Mitt Romney,51385,73020,22977,5257,101254,Donald Trump,50043,9.46
Alabama,St. Clair,5801,29031,316,35148,Mitt Romney,23230,31651,5589,1160,38400,Donald Trump,26062,9.25
Alabama,Sumter,5421,1586,20,7027,Barack Obama,3835,1581,4746,84,6411,Hillary Clinton,3165,-8.77
Alabama,Talladega,13905,19246,222,33373,Mitt Romney,5341,20614,12121,672,33407,Donald Trump,8493,0.1
Alabama,Tallapoosa,6319,12396,114,18829,Mitt Romney,6077,13594,5519,373,19486,Donald Trump,8075,3.49
Alabama,Tuscaloosa,32048,45748,794,78590,Mitt Romney,13700,47723,31762,3215,82700,Donald Trump,15961,5.23
Alabama,Walker,6557,21651,313,28521,Mitt Romney,15094,24266,4497,709,29472,Donald Trump,19769,3.33
Alabama,Washington,2976,5761,41,8778,Mitt Romney,2785,6042,2374,117,8533,Donald Trump,3668,-2.79
Alabama,Wilcox,4868,1679,4,6551,Barack Obama,3189,1737,4339,42,6118,Hillary Clinton,2602,-6.61
Alabama,Winston,1286,8312,116,9714,Mitt Romney,7026,9228,872,213,10313,Donald Trump,8356,6.17
Arizona,Apache,17147,8250,451,25848,Barack Obama,8897,8240,17083,2338,27661,Hillary Clinton,8843,7.01
Arizona,Cochise,18546,29497,960,49003,Mitt Romney,10951,28092,17450,4473,50015,Donald Trump,10642,2.07
Arizona,Coconino,29257,21220,1254,51731,Barack Obama,8037,21108,32404,6272,59784,Hillary Clinton,11296,15.57
