state,county,median_age,unemployment,total_population,graduate_degree,at_least_bachelor_s_degree,at_least_high_school_diploma,less_than_high_school,median_earnings_2010_dollars,white,black,hispanic,asian,farming_fishing_and_forestry_occupations,construction_extraction_maintenance_and_repair_occupations,management_professional_and_related_occupations,production_transportation_and_material_moving_occupations,sales_and_office_occupations,service_occupations
Indiana,Kosciusko,37.2,0.074,76727,7.2,20.2,84.7,15.3,27945.80921,90.15,0.65,7.1,0.85,0.6,7.85,26.6,29,22.95,13.05
Indiana,LaGrange,30.4,0.079,36992,4.1,10.4,59.7,40.3,27495.60095,93.2,0.2,3.6,0.5,1.3,13.2,21.6,35.6,16.45,11.85
Indiana,LaPorte,39.2,0.1,110784,5.8,16.7,85.4,14.6,27441.95715,82.2,10.45,4.95,0.5,0.4,11.75,25.7,20.55,24.35,17.3
Indiana,Lake,36.9,0.095,493604,6.3,18.9,86.1,13.9,29506.74254,56.4,25.2,15.6,1.2,0.2,10.75,28.4,17.75,25.35,17.55
Indiana,Lawrence,41,0.107,46012,4.6,12.5,81,19,25835.16476,96.55,0.5,1.15,0.5,0.55,12.35,25.1,21.75,21.65,18.6
Indiana,Madison,39,0.097,131325,6,16.6,86.4,13.6,26616.88953,86.85,7.8,2.75,0.4,0.45,10,28.05,17.8,25.1,18.6
Indiana,Marion,34,0.087,891137,9.5,27.3,84,16,27984.64286,61.9,25.6,8.15,1.8,0.15,8.15,33.95,13.55,26.85,17.3
Indiana,Marshall,37.7,0.089,46828,6.5,17.1,83.3,16.7,27675.03492,89.35,0.4,8.5,0.45,1,11.1,26.3,26.4,20.95,14.25
Indiana,Martin,42.1,0.067,10200,3.5,8.5,81.2,18.8,26599.97461,97.9,0.05,1,0.25,1.15,11.45,26.5,26.2,19.95,14.75
Indiana,Miami,39.9,0.103,36705,3.7,10.2,81.9,18.1,22937.29746,90.45,4.4,2.1,0.25,0.75,10.35,25.2,24.5,18.45,20.7
Indiana,Monroe,27.5,0.069,132914,21,42.7,91.1,8.9,16130.20032,87,3.2,2.6,4.8,0.15,6.3,42,10.9,21.95,18.7
Indiana,Montgomery,39,0.084,37976,6.3,17.5,86.8,13.2,25852.79905,93.4,0.85,4,0.45,1.05,8.3,26.25,27.6,22.85,14
Indiana,Morgan,39.1,0.081,69536,4.5,13.9,85,15,30293.29969,96.9,0.4,1.1,0.35,0.2,15.55,26.8,17.1,24.15,16.25
Indiana,Newton,42,0.098,14109,2.7,9.5,85.8,14.2,26581.82603,93.6,0.45,4.55,0.35,2.5,13.5,22.8,27.1,21.15,12.85
Indiana,Noble,36.5,0.092,47632,4.5,13,81.2,18.8,27629.18826,87.95,0.3,10.15,0.4,1.4,9.55,22.25,35.4,18.45,12.9
Indiana,Ohio,41.8,0.085,5999,3.6,12.1,81.2,18.8,29594.56508,97.4,0.45,1.2,0.15,0,11,19.95,22.1,25.3,21.75
Indiana,Orange,39.8,0.095,19688,5.4,12.5,78.7,21.3,25276.00064,96.6,1,1,0.2,1.35,14.3,24.75,22.35,21.05,16.2
Indiana,Owen,41.4,0.096,21973,3,8.3,81.9,18.1,26270.35651,97.15,0.2,0.95,0.45,0.7,14.5,21.35,26.85,20.3,16.3
Indiana,Parke,41,0.098,17216,3.9,12.7,80.9,19.1,23493.77778,94.85,2.25,1.05,0.2,2.3,14.5,23.7,24.2,18.8,16.5
Indiana,Perry,40,0.079,19105,4,8.3,82.5,17.5,25663.90698,95.35,2.5,1.05,0.25,1.3,13.45,18.1,30.35,18.25,18.55
Indiana,Pike,41.9,0.077,12670,3,8.3,83.9,16.1,27516.43841,98.05,0.25,0.9,0.25,0.5,13.4,21.2,32.65,19.15,13.05
Indiana,Porter,38.1,0.077,162208,8.9,25.2,91.3,8.7,31667.49079,87.05,2.65,7.6,1.15,0.2,12.1,31.85,15.55,24.65,15.7
